SystemCodeNumber,Capacity,Occupancy,LastUpdated,OccupancyRate,Date,Time,DayOfWeek,Hour
BHMBCCMKT01,577,198,2016-10-06 12:57:21,34.31542461005199,2016-10-06,12:57:21,Thu,12
BHMBCCMKT01,577,208,2016-10-06 13:30:21,36.04852686308492,2016-10-06,13:30:21,Thu,13
BHMBCCMKT01,577,200,2016-10-06 13:57:22,34.66204506065858,2016-10-06,13:57:22,Thu,13
BHMBCCMKT01,577,175,2016-10-06 14:30:23,30.329289428076258,2016-10-06,14:30:23,Thu,14
BHMBCCMKT01,577,158,2016-10-06 15:04:22,27.383015597920277,2016-10-06,15:04:22,Thu,15
BHMBCCMKT01,577,153,2016-10-06 15:31:22,26.51646447140381,2016-10-06,15:31:22,Thu,15
BHMBCCMKT01,577,135,2016-10-06 16:04:23,23.39688041594454,2016-10-06,16:04:23,Thu,16
BHMBCCMKT01,577,129,2016-10-06 16:30:27,22.357019064124785,2016-10-06,16:30:27,Thu,16
BHMBCCMKT01,577,58,2016-10-07 08:03:27,10.051993067590988,2016-10-07,08:03:27,Fri,8
BHMBCCMKT01,577,61,2016-10-07 08:30:27,10.571923743500866,2016-10-07,08:30:27,Fri,8
BHMBCCMKT01,577,75,2016-10-07 09:04:13,12.998266897746968,2016-10-07,09:04:13,Fri,9
BHMBCCMKT01,577,103,2016-10-07 09:30:27,17.85095320623917,2016-10-07,09:30:27,Fri,9
BHMBCCMKT01,577,128,2016-10-07 09:57:27,22.18370883882149,2016-10-07,09:57:27,Fri,9
BHMBCCMKT01,577,172,2016-10-07 10:30:27,29.80935875216638,2016-10-07,10:30:27,Fri,10
BHMBCCMKT01,577,188,2016-10-07 10:57:30,32.582322357019066,2016-10-07,10:57:30,Fri,10
BHMBCCMKT01,577,199,2016-10-07 11:30:28,34.48873483535529,2016-10-07,11:30:28,Fri,11
BHMBCCMKT01,577,210,2016-10-07 12:03:29,36.39514731369151,2016-10-07,12:03:29,Fri,12
BHMBCCMKT01,577,206,2016-10-07 12:30:28,35.70190641247834,2016-10-07,12:30:28,Fri,12
BHMBCCMKT01,577,200,2016-10-07 13:04:28,34.66204506065858,2016-10-07,13:04:28,Fri,13
BHMBCCMKT01,577,201,2016-10-07 13:30:29,34.835355285961874,2016-10-07,13:30:29,Fri,13
BHMBCCMKT01,577,193,2016-10-07 14:03:28,33.44887348353553,2016-10-07,14:03:28,Fri,14
BHMBCCMKT01,577,181,2016-10-07 14:30:32,31.369150779896014,2016-10-07,14:30:32,Fri,14
BHMBCCMKT01,577,172,2016-10-07 15:04:30,29.80935875216638,2016-10-07,15:04:30,Fri,15
BHMBCCMKT01,577,159,2016-10-07 15:30:32,27.55632582322357,2016-10-07,15:30:32,Fri,15
BHMBCCMKT01,577,158,2016-10-07 15:57:31,27.383015597920277,2016-10-07,15:57:31,Fri,15
BHMBCCMKT01,577,132,2016-10-07 16:30:29,22.87694974003466,2016-10-07,16:30:29,Fri,16
BHMBCCMKT01,577,58,2016-10-08 07:57:38,10.051993067590988,2016-10-08,07:57:38,Sat,7
BHMBCCMKT01,577,61,2016-10-08 08:30:37,10.571923743500866,2016-10-08,08:30:37,Sat,8
BHMBCCMKT01,577,75,2016-10-08 08:57:34,12.998266897746968,2016-10-08,08:57:34,Sat,8
BHMBCCMKT01,577,104,2016-10-08 09:30:37,18.02426343154246,2016-10-08,09:30:37,Sat,9
BHMBCCMKT01,577,158,2016-10-08 10:04:34,27.383015597920277,2016-10-08,10:04:34,Sat,10
BHMBCCMKT01,577,191,2016-10-08 10:30:34,33.10225303292894,2016-10-08,10:30:34,Sat,10
BHMBCCMKT01,577,223,2016-10-08 10:57:34,38.64818024263432,2016-10-08,10:57:34,Sat,10
BHMBCCMKT01,577,254,2016-10-08 11:30:38,44.0207972270364,2016-10-08,11:30:38,Sat,11
BHMBCCMKT01,577,306,2016-10-08 12:04:34,53.03292894280762,2016-10-08,12:04:34,Sat,12
BHMBCCMKT01,577,320,2016-10-08 12:30:36,55.45927209705373,2016-10-08,12:30:36,Sat,12
BHMBCCMKT01,577,348,2016-10-08 13:04:39,60.31195840554593,2016-10-08,13:04:39,Sat,13
BHMBCCMKT01,577,357,2016-10-08 13:30:36,61.871750433275565,2016-10-08,13:30:36,Sat,13
BHMBCCMKT01,577,395,2016-10-08 14:03:38,68.4575389948007,2016-10-08,14:03:38,Sat,14
BHMBCCMKT01,577,400,2016-10-08 14:30:35,69.32409012131716,2016-10-08,14:30:35,Sat,14
BHMBCCMKT01,577,395,2016-10-08 14:57:41,68.4575389948007,2016-10-08,14:57:41,Sat,14
BHMBCCMKT01,577,406,2016-10-08 15:30:39,70.36395147313692,2016-10-08,15:30:39,Sat,15
BHMBCCMKT01,577,381,2016-10-08 16:04:39,66.03119584055459,2016-10-08,16:04:39,Sat,16
BHMBCCMKT01,577,365,2016-10-08 16:30:42,63.258232235701904,2016-10-08,16:30:42,Sat,16
BHMBCCMKT01,577,42,2016-10-09 08:04:40,7.279029462738301,2016-10-09,08:04:40,Sun,8
BHMBCCMKT01,577,42,2016-10-09 08:30:45,7.279029462738301,2016-10-09,08:30:45,Sun,8
BHMBCCMKT01,577,43,2016-10-09 09:04:46,7.452339688041595,2016-10-09,09:04:46,Sun,9
BHMBCCMKT01,577,43,2016-10-09 09:30:45,7.452339688041595,2016-10-09,09:30:45,Sun,9
BHMBCCMKT01,577,50,2016-10-09 09:57:41,8.665511265164644,2016-10-09,09:57:41,Sun,9
BHMBCCMKT01,577,64,2016-10-09 10:30:43,11.091854419410746,2016-10-09,10:30:43,Sun,10
BHMBCCMKT01,577,100,2016-10-09 11:04:44,17.33102253032929,2016-10-09,11:04:44,Sun,11
BHMBCCMKT01,577,126,2016-10-09 11:30:41,21.837088388214905,2016-10-09,11:30:41,Sun,11
BHMBCCMKT01,577,148,2016-10-09 11:57:46,25.64991334488735,2016-10-09,11:57:46,Sun,11
BHMBCCMKT01,577,170,2016-10-09 12:30:41,29.462738301559792,2016-10-09,12:30:41,Sun,12
BHMBCCMKT01,577,189,2016-10-09 13:04:43,32.755632582322356,2016-10-09,13:04:43,Sun,13
BHMBCCMKT01,577,205,2016-10-09 13:30:42,35.52859618717504,2016-10-09,13:30:42,Sun,13
BHMBCCMKT01,577,208,2016-10-09 14:03:42,36.04852686308492,2016-10-09,14:03:42,Sun,14
BHMBCCMKT01,577,209,2016-10-09 14:30:42,36.22183708838821,2016-10-09,14:30:42,Sun,14
BHMBCCMKT01,577,191,2016-10-09 15:04:44,33.10225303292894,2016-10-09,15:04:44,Sun,15
BHMBCCMKT01,577,180,2016-10-09 15:30:46,31.19584055459272,2016-10-09,15:30:46,Sun,15
BHMBCCMKT01,577,155,2016-10-09 16:03:43,26.863084922010398,2016-10-09,16:03:43,Sun,16
BHMBCCMKT01,577,133,2016-10-09 16:30:43,23.050259965337954,2016-10-09,16:30:43,Sun,16
BHMBCCMKT01,577,54,2016-10-10 08:04:47,9.358752166377815,2016-10-10,08:04:47,Mon,8
BHMBCCMKT01,577,56,2016-10-10 08:30:47,9.705372616984402,2016-10-10,08:30:47,Mon,8
BHMBCCMKT01,577,65,2016-10-10 09:04:47,11.265164644714039,2016-10-10,09:04:47,Mon,9
BHMBCCMKT01,577,73,2016-10-10 09:30:49,12.651646447140381,2016-10-10,09:30:49,Mon,9
BHMBCCMKT01,577,92,2016-10-10 10:03:48,15.944540727902947,2016-10-10,10:03:48,Mon,10
BHMBCCMKT01,577,113,2016-10-10 10:30:48,19.584055459272097,2016-10-10,10:30:48,Mon,10
BHMBCCMKT01,577,144,2016-10-10 10:57:52,24.956672443674176,2016-10-10,10:57:52,Mon,10
BHMBCCMKT01,577,149,2016-10-10 11:30:48,25.823223570190642,2016-10-10,11:30:48,Mon,11
BHMBCCMKT01,577,159,2016-10-10 11:57:49,27.55632582322357,2016-10-10,11:57:49,Mon,11
BHMBCCMKT01,577,171,2016-10-10 12:30:48,29.636048526863085,2016-10-10,12:30:48,Mon,12
BHMBCCMKT01,577,176,2016-10-10 13:04:49,30.502599653379548,2016-10-10,13:04:49,Mon,13
BHMBCCMKT01,577,172,2016-10-10 13:30:49,29.80935875216638,2016-10-10,13:30:49,Mon,13
BHMBCCMKT01,577,161,2016-10-10 14:03:49,27.902946273830157,2016-10-10,14:03:49,Mon,14
BHMBCCMKT01,577,154,2016-10-10 14:30:49,26.689774696707104,2016-10-10,14:30:49,Mon,14
BHMBCCMKT01,577,137,2016-10-10 14:57:54,23.743500866551127,2016-10-10,14:57:54,Mon,14
BHMBCCMKT01,577,129,2016-10-10 15:30:49,22.357019064124785,2016-10-10,15:30:49,Mon,15
BHMBCCMKT01,577,130,2016-10-10 15:57:55,22.530329289428078,2016-10-10,15:57:55,Mon,15
BHMBCCMKT01,577,114,2016-10-10 16:30:49,19.75736568457539,2016-10-10,16:30:49,Mon,16
BHMBCCMKT01,577,56,2016-10-11 08:04:57,9.705372616984402,2016-10-11,08:04:57,Tue,8
BHMBCCMKT01,577,64,2016-10-11 08:30:54,11.091854419410746,2016-10-11,08:30:54,Tue,8
BHMBCCMKT01,577,74,2016-10-11 08:57:56,12.824956672443674,2016-10-11,08:57:56,Tue,8
BHMBCCMKT01,577,93,2016-10-11 09:30:55,16.11785095320624,2016-10-11,09:30:55,Tue,9
BHMBCCMKT01,577,129,2016-10-11 09:57:59,22.357019064124785,2016-10-11,09:57:59,Tue,9
BHMBCCMKT01,577,167,2016-10-11 10:30:54,28.942807625649912,2016-10-11,10:30:54,Tue,10
BHMBCCMKT01,577,200,2016-10-11 10:57:55,34.66204506065858,2016-10-11,10:57:55,Tue,10
BHMBCCMKT01,577,219,2016-10-11 11:30:59,37.954939341421145,2016-10-11,11:30:59,Tue,11
BHMBCCMKT01,577,225,2016-10-11 12:03:55,38.994800693240904,2016-10-11,12:03:55,Tue,12
BHMBCCMKT01,577,221,2016-10-11 12:30:56,38.30155979202773,2016-10-11,12:30:56,Tue,12
BHMBCCMKT01,577,217,2016-10-11 13:04:00,37.60831889081456,2016-10-11,13:04:00,Tue,13
BHMBCCMKT01,577,217,2016-10-11 13:31:01,37.60831889081456,2016-10-11,13:31:01,Tue,13
BHMBCCMKT01,577,208,2016-10-11 14:04:00,36.04852686308492,2016-10-11,14:04:00,Tue,14
BHMBCCMKT01,577,191,2016-10-11 14:30:56,33.10225303292894,2016-10-11,14:30:56,Tue,14
BHMBCCMKT01,577,167,2016-10-11 15:03:58,28.942807625649912,2016-10-11,15:03:58,Tue,15
BHMBCCMKT01,577,159,2016-10-11 15:33:56,27.55632582322357,2016-10-11,15:33:56,Tue,15
BHMBCCMKT01,577,150,2016-10-11 16:01:00,25.996533795493935,2016-10-11,16:01:00,Tue,16
BHMBCCMKT01,577,127,2016-10-11 16:26:56,22.0103986135182,2016-10-11,16:26:56,Tue,16
BHMBCCMKT01,577,51,2016-10-12 08:04:00,8.838821490467938,2016-10-12,08:04:00,Wed,8
BHMBCCMKT01,577,57,2016-10-12 08:31:01,9.878682842287695,2016-10-12,08:31:01,Wed,8
BHMBCCMKT01,577,64,2016-10-12 09:03:59,11.091854419410746,2016-10-12,09:03:59,Wed,9
BHMBCCMKT01,577,73,2016-10-12 09:26:58,12.651646447140381,2016-10-12,09:26:58,Wed,9
BHMBCCMKT01,577,99,2016-10-12 10:01:04,17.157712305025996,2016-10-12,10:01:04,Wed,10
BHMBCCMKT01,577,112,2016-10-12 10:31:04,19.410745233968804,2016-10-12,10:31:04,Wed,10
BHMBCCMKT01,577,127,2016-10-12 11:04:01,22.0103986135182,2016-10-12,11:04:01,Wed,11
BHMBCCMKT01,577,128,2016-10-12 11:31:05,22.18370883882149,2016-10-12,11:31:05,Wed,11
BHMBCCMKT01,577,143,2016-10-12 12:04:04,24.783362218370883,2016-10-12,12:04:04,Wed,12
BHMBCCMKT01,577,158,2016-10-12 12:31:05,27.383015597920277,2016-10-12,12:31:05,Wed,12
BHMBCCMKT01,577,157,2016-10-12 13:04:04,27.209705372616984,2016-10-12,13:04:04,Wed,13
BHMBCCMKT01,577,164,2016-10-12 13:34:03,28.422876949740036,2016-10-12,13:34:03,Wed,13
BHMBCCMKT01,577,167,2016-10-12 14:03:59,28.942807625649912,2016-10-12,14:03:59,Wed,14
BHMBCCMKT01,577,159,2016-10-12 14:34:04,27.55632582322357,2016-10-12,14:34:04,Wed,14
BHMBCCMKT01,577,140,2016-10-12 15:01:03,24.263431542461007,2016-10-12,15:01:03,Wed,15
BHMBCCMKT01,577,128,2016-10-12 15:30:59,22.18370883882149,2016-10-12,15:30:59,Wed,15
BHMBCCMKT01,577,121,2016-10-12 15:57:05,20.97053726169844,2016-10-12,15:57:05,Wed,15
BHMBCCMKT01,577,111,2016-10-12 16:31:05,19.23743500866551,2016-10-12,16:31:05,Wed,16
BHMBCCMKT01,577,58,2016-10-13 07:57:02,10.051993067590988,2016-10-13,07:57:02,Thu,7
BHMBCCMKT01,577,65,2016-10-13 08:31:06,11.265164644714039,2016-10-13,08:31:06,Thu,8
BHMBCCMKT01,577,76,2016-10-13 09:04:02,13.17157712305026,2016-10-13,09:04:02,Thu,9
BHMBCCMKT01,577,97,2016-10-13 09:31:01,16.81109185441941,2016-10-13,09:31:01,Thu,9
BHMBCCMKT01,577,127,2016-10-13 09:57:08,22.0103986135182,2016-10-13,09:57:08,Thu,9
BHMBCCMKT01,577,166,2016-10-13 10:31:03,28.76949740034662,2016-10-13,10:31:03,Thu,10
BHMBCCMKT01,577,200,2016-10-13 11:04:08,34.66204506065858,2016-10-13,11:04:08,Thu,11
BHMBCCMKT01,577,220,2016-10-13 11:31:06,38.128249566724435,2016-10-13,11:31:06,Thu,11
BHMBCCMKT01,577,230,2016-10-13 11:57:06,39.86135181975737,2016-10-13,11:57:06,Thu,11
BHMBCCMKT01,577,231,2016-10-13 12:31:08,40.03466204506066,2016-10-13,12:31:08,Thu,12
BHMBCCMKT01,577,214,2016-10-13 13:04:04,37.08838821490468,2016-10-13,13:04:04,Thu,13
BHMBCCMKT01,577,203,2016-10-13 13:31:08,35.18197573656846,2016-10-13,13:31:08,Thu,13
BHMBCCMKT01,577,205,2016-10-13 13:57:07,35.52859618717504,2016-10-13,13:57:07,Thu,13
BHMBCCMKT01,577,181,2016-10-13 14:31:06,31.369150779896014,2016-10-13,14:31:06,Thu,14
BHMBCCMKT01,577,162,2016-10-13 15:04:08,28.07625649913345,2016-10-13,15:04:08,Thu,15
BHMBCCMKT01,577,144,2016-10-13 15:31:08,24.956672443674176,2016-10-13,15:31:08,Thu,15
BHMBCCMKT01,577,132,2016-10-13 16:04:08,22.87694974003466,2016-10-13,16:04:08,Thu,16
BHMBCCMKT01,577,130,2016-10-13 16:31:08,22.530329289428078,2016-10-13,16:31:08,Thu,16
BHMBCCMKT01,577,53,2016-10-14 08:01:05,9.185441941074524,2016-10-14,08:01:05,Fri,8
BHMBCCMKT01,577,57,2016-10-14 08:27:10,9.878682842287695,2016-10-14,08:27:10,Fri,8
BHMBCCMKT01,577,67,2016-10-14 09:01:08,11.611785095320624,2016-10-14,09:01:08,Fri,9
BHMBCCMKT01,577,100,2016-10-14 09:27:10,17.33102253032929,2016-10-14,09:27:10,Fri,9
BHMBCCMKT01,577,134,2016-10-14 10:01:11,23.223570190641247,2016-10-14,10:01:11,Fri,10
BHMBCCMKT01,577,157,2016-10-14 10:27:09,27.209705372616984,2016-10-14,10:27:09,Fri,10
BHMBCCMKT01,577,205,2016-10-14 11:01:07,35.52859618717504,2016-10-14,11:01:07,Fri,11
BHMBCCMKT01,577,220,2016-10-14 11:27:06,38.128249566724435,2016-10-14,11:27:06,Fri,11
BHMBCCMKT01,577,224,2016-10-14 12:01:11,38.82149046793761,2016-10-14,12:01:11,Fri,12
BHMBCCMKT01,577,213,2016-10-14 12:27:06,36.915077989601386,2016-10-14,12:27:06,Fri,12
BHMBCCMKT01,577,205,2016-10-14 13:01:11,35.52859618717504,2016-10-14,13:01:11,Fri,13
BHMBCCMKT01,577,201,2016-10-14 13:27:07,34.835355285961874,2016-10-14,13:27:07,Fri,13
BHMBCCMKT01,577,182,2016-10-14 14:01:11,31.542461005199307,2016-10-14,14:01:11,Fri,14
BHMBCCMKT01,577,174,2016-10-14 14:34:08,30.155979202772965,2016-10-14,14:34:08,Fri,14
BHMBCCMKT01,577,171,2016-10-14 15:01:12,29.636048526863085,2016-10-14,15:01:12,Fri,15
BHMBCCMKT01,577,161,2016-10-14 15:27:08,27.902946273830157,2016-10-14,15:27:08,Fri,15
BHMBCCMKT01,577,138,2016-10-14 16:01:11,23.91681109185442,2016-10-14,16:01:11,Fri,16
BHMBCCMKT01,577,134,2016-10-14 16:34:08,23.223570190641247,2016-10-14,16:34:08,Fri,16
BHMBCCMKT01,577,53,2016-10-15 08:01:11,9.185441941074524,2016-10-15,08:01:11,Sat,8
BHMBCCMKT01,577,63,2016-10-15 08:34:10,10.918544194107453,2016-10-15,08:34:10,Sat,8
BHMBCCMKT01,577,77,2016-10-15 09:01:09,13.344887348353552,2016-10-15,09:01:09,Sat,9
BHMBCCMKT01,577,101,2016-10-15 09:27:11,17.504332755632582,2016-10-15,09:27:11,Sat,9
BHMBCCMKT01,577,154,2016-10-15 10:01:12,26.689774696707104,2016-10-15,10:01:12,Sat,10
BHMBCCMKT01,577,171,2016-10-15 10:27:15,29.636048526863085,2016-10-15,10:27:15,Sat,10
BHMBCCMKT01,577,211,2016-10-15 11:01:14,36.5684575389948,2016-10-15,11:01:14,Sat,11
BHMBCCMKT01,577,239,2016-10-15 11:27:14,41.421143847487,2016-10-15,11:27:14,Sat,11
BHMBCCMKT01,577,276,2016-10-15 12:01:12,47.83362218370884,2016-10-15,12:01:12,Sat,12
BHMBCCMKT01,577,297,2016-10-15 12:27:10,51.47313691507799,2016-10-15,12:27:10,Sat,12
BHMBCCMKT01,577,332,2016-10-15 13:01:14,57.53899480069324,2016-10-15,13:01:14,Sat,13
BHMBCCMKT01,577,352,2016-10-15 13:34:13,61.005199306759096,2016-10-15,13:34:13,Sat,13
BHMBCCMKT01,577,391,2016-10-15 14:01:13,67.76429809358753,2016-10-15,14:01:13,Sat,14
BHMBCCMKT01,577,409,2016-10-15 14:27:12,70.8838821490468,2016-10-15,14:27:12,Sat,14
BHMBCCMKT01,577,442,2016-10-15 15:01:13,76.60311958405546,2016-10-15,15:01:13,Sat,15
BHMBCCMKT01,577,428,2016-10-15 15:27:12,74.17677642980937,2016-10-15,15:27:12,Sat,15
BHMBCCMKT01,577,412,2016-10-15 16:01:15,71.40381282495667,2016-10-15,16:01:15,Sat,16
BHMBCCMKT01,577,393,2016-10-15 16:27:16,68.1109185441941,2016-10-15,16:27:16,Sat,16
BHMBCCMKT01,577,48,2016-10-16 08:04:13,8.31889081455806,2016-10-16,08:04:13,Sun,8
BHMBCCMKT01,577,48,2016-10-16 08:27:13,8.31889081455806,2016-10-16,08:27:13,Sun,8
BHMBCCMKT01,577,55,2016-10-16 09:01:15,9.532062391681109,2016-10-16,09:01:15,Sun,9
BHMBCCMKT01,577,57,2016-10-16 09:27:13,9.878682842287695,2016-10-16,09:27:13,Sun,9
BHMBCCMKT01,577,57,2016-10-16 10:04:13,9.878682842287695,2016-10-16,10:04:13,Sun,10
BHMBCCMKT01,577,56,2016-10-16 10:34:13,9.705372616984402,2016-10-16,10:34:13,Sun,10
BHMBCCMKT01,577,56,2016-10-16 11:01:13,9.705372616984402,2016-10-16,11:01:13,Sun,11
BHMBCCMKT01,577,56,2016-10-16 11:27:17,9.705372616984402,2016-10-16,11:27:17,Sun,11
BHMBCCMKT01,577,65,2016-10-16 12:01:16,11.265164644714039,2016-10-16,12:01:16,Sun,12
BHMBCCMKT01,577,105,2016-10-16 12:27:14,18.197573656845755,2016-10-16,12:27:14,Sun,12
BHMBCCMKT01,577,131,2016-10-16 13:01:16,22.703639514731368,2016-10-16,13:01:16,Sun,13
BHMBCCMKT01,577,146,2016-10-16 13:27:17,25.303292894280762,2016-10-16,13:27:17,Sun,13
BHMBCCMKT01,577,170,2016-10-16 14:01:18,29.462738301559792,2016-10-16,14:01:18,Sun,14
BHMBCCMKT01,577,180,2016-10-16 14:27:13,31.19584055459272,2016-10-16,14:27:13,Sun,14
BHMBCCMKT01,577,192,2016-10-16 15:01:18,33.27556325823224,2016-10-16,15:01:18,Sun,15
BHMBCCMKT01,577,185,2016-10-16 15:31:18,32.06239168110918,2016-10-16,15:31:18,Sun,15
BHMBCCMKT01,577,173,2016-10-16 15:57:16,29.98266897746967,2016-10-16,15:57:16,Sun,15
BHMBCCMKT01,577,154,2016-10-16 16:31:17,26.689774696707104,2016-10-16,16:31:17,Sun,16
BHMBCCMKT01,577,50,2016-10-17 08:01:16,8.665511265164644,2016-10-17,08:01:16,Mon,8
BHMBCCMKT01,577,54,2016-10-17 08:27:16,9.358752166377815,2016-10-17,08:27:16,Mon,8
BHMBCCMKT01,577,66,2016-10-17 09:01:17,11.43847487001733,2016-10-17,09:01:17,Mon,9
BHMBCCMKT01,577,76,2016-10-17 09:27:20,13.17157712305026,2016-10-17,09:27:20,Mon,9
BHMBCCMKT01,577,112,2016-10-17 10:04:20,19.410745233968804,2016-10-17,10:04:20,Mon,10
BHMBCCMKT01,577,119,2016-10-17 10:31:16,20.623916811091853,2016-10-17,10:31:16,Mon,10
BHMBCCMKT01,577,144,2016-10-17 11:04:20,24.956672443674176,2016-10-17,11:04:20,Mon,11
BHMBCCMKT01,577,153,2016-10-17 11:31:18,26.51646447140381,2016-10-17,11:31:18,Mon,11
BHMBCCMKT01,577,159,2016-10-17 12:04:19,27.55632582322357,2016-10-17,12:04:19,Mon,12
BHMBCCMKT01,577,154,2016-10-17 12:31:21,26.689774696707104,2016-10-17,12:31:21,Mon,12
BHMBCCMKT01,577,154,2016-10-17 12:57:17,26.689774696707104,2016-10-17,12:57:17,Mon,12
BHMBCCMKT01,577,157,2016-10-17 13:31:21,27.209705372616984,2016-10-17,13:31:21,Mon,13
BHMBCCMKT01,577,161,2016-10-17 14:04:21,27.902946273830157,2016-10-17,14:04:21,Mon,14
BHMBCCMKT01,577,147,2016-10-17 14:31:21,25.476603119584055,2016-10-17,14:31:21,Mon,14
BHMBCCMKT01,577,133,2016-10-17 14:57:18,23.050259965337954,2016-10-17,14:57:18,Mon,14
BHMBCCMKT01,577,121,2016-10-17 15:31:21,20.97053726169844,2016-10-17,15:31:21,Mon,15
BHMBCCMKT01,577,115,2016-10-17 15:57:17,19.930675909878683,2016-10-17,15:57:17,Mon,15
BHMBCCMKT01,577,110,2016-10-17 16:28:21,19.064124783362217,2016-10-17,16:28:21,Mon,16
